Parent Class,Class,Equivalent Class,Canonical Class,Canonical Source
Equipment,AED,AED,Automated_External_Defibrillator,
Equipment,AED,Automated_External_Defibrillator,Automated_External_Defibrillator,
Equipment,AHU,AHU,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,AHU,Air_Handler_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,AHU,Air_Handling_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handler_Unit,AHU,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handler_Unit,Air_Handler_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handler_Unit,Air_Handling_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handling_Unit,AHU,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handling_Unit,Air_Handler_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Air_Handling_Unit,Air_Handling_Unit,Air_Handling_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_430_I-P_2020.pdf
Equipment,Automated_External_Defibrillator,AED,Automated_External_Defibrillator,
Equipment,Automated_External_Defibrillator,Automated_External_Defibrillator,Automated_External_Defibrillator,
Point,Average_Discharge_Air_Flow_Sensor,Average_Discharge_Air_Flow_Sensor,,
Point,Average_Discharge_Air_Flow_Sensor,Average_Supply_Air_Flow_Sensor,,
Point,Average_Supply_Air_Flow_Sensor,Average_Discharge_Air_Flow_Sensor,,
Point,Average_Supply_Air_Flow_Sensor,Average_Supply_Air_Flow_Sensor,,
Location,Break_Room,Break_Room,,
Location,Break_Room,Breakroom,,
Location,Breakroom,Break_Room,,
Location,Breakroom,Breakroom,,
Equipment,CAV,CAV,,
